Estimate,Display_Label
352470,Total population Under 5 years
344290,Total population 5 to 9 years
348779,Total population 10 to 14 years
318598,Total population 15 to 19 years
318536,Total population 20 to 24 years
8,Percent Under 5 years
7,Percent 5 to 9 years
8,Percent 10 to 14 years
7,Percent 15 to 19 years
7,Percent 20 to 24 years
179314,Total male population Under 5 years
174236,Total male population 5 to 9 years
178382,Total male population 10 to 14 years
163499,Total male population 15 to 19 years
161275,Total male population 20 to 24 years
8,Percent of males Under 5 years
8,Percent of males 5 to 9 years
8,Percent of males 10 to 14 years
7,Percent of males 15 to 19 years
7,Percent of males 20 to 24 years
173156,Total female population Under 5 years
170054,Total female population 5 to 9 years
170397,Total female population 10 to 14 years
155099,Total female population 15 to 19 years
157261,Total female population 20 to 24 years
7,Percent of females Under 5 years
7,Percent of females 5 to 9 years
7,Percent of females 10 to 14 years
7,Percent of females 15 to 19 years
7,Percent of females 20 to 24 years
288087,Below poverty level Under 18 years
86312,Below poverty level Under 5 years
201775,Below poverty level 5 to 17 years
322513,Below poverty level Male
400279,Below poverty level Female
23,Percent below poverty level Under 18 years
25,Percent below poverty level Under 5 years
23,Percent below poverty level 5 to 17 years
14,Percent below poverty level Male
17,Percent below poverty level Female
4646630,Total Population
1089983,Total Population 5 years and over who Speak only English
830945,Total Population 5 years and over who speak a language other than English: Spanish
75726,Total Population 5 years and over who speak a language other than English: Other languages
94241,Total Population 5 years and over who speak a language other than English: Other Indo-European languages
43235,Total Population 5 years and over who speak a language other than English: Asian and Pacific Island languages
51,Percent Population 5 years and over who Speak only English
39,Percent Population 5 years and over who speak a language other than English: Spanish
4,Percent Population 5 years and over who speak a language other than English: Other languages
4,Percent Population 5 years and over who speak a language other than English: Other Indo-European languages
2,Percent Population 5 years and over who speak a language other than English: Asian and Pacific Island languages
6,Unemployment rate Population 16 years and over
21,Unemployment rate 16 to 19 years
10,Unemployment rate 20 to 24 years
149138,Total households Married-couple family With own children of the householder under 18 years
17,Total households Cohabiting couple household With own children of the householder under 18 years
23604,"Total households Male householder, no spouse/partner present With own children of the householder under 18 years"
3,"Total households Female householder, no spouse/partner present With own children of the householder under 18 years"
11229,Number of grandparents living with own grandchildren under 18 years Grandparents responsible for grandchildren
1,Percent households Married-couple family With own children of the householder under 18 years
66447,Percent households Cohabiting couple household With own children of the householder under 18 years
8,"Percent households Male householder, no spouse/partner present With own children of the householder under 18 years"
20500,"Percent households Female householder, no spouse/partner present With own children of the householder under 18 years"
36,Percent of households withgrandparents living with own grandchildren under 18 years Grandparents responsible for grandchildren
18025,Uninsured Civilian noninstitutionalized population Under 6 years
61717,Uninsured Civilian noninstitutionalized population 6 to 18 years
282636,Uninsured Civilian noninstitutionalized population Male
247284,Uninsured Civilian noninstitutionalized population Female
9,Percent Uninsured Civilian noninstitutionalized population Under 6 years
16,Percent Uninsured Civilian noninstitutionalized population 6 to 18 years
25,Percent Uninsured Civilian noninstitutionalized population Male
21,Percent Uninsured Civilian noninstitutionalized population Female
231576,Total New American Children
42,Percent New American Children
